Q,A
Are university fellowships available to graduate nondegree-seeking students?,"Students must be accepted as a graduate student in a degree program and enrolled full-time to be eligible for university fellowships or assistantships. Nondegree-seeking students,students who are only admitted to a graduate certificate program, and students enrolled in fully online programs that exempt them from paying campus-based fees are ineligible for UCF fellowships."
Can I get an advance on my fellowship for books or emergency expenses?,"Yes, you can request a short-term advance to cover books and supplies or unexpected emergencies. Visit the Office of Student Financial Assistance website at finaid.ucf.edu/receiving/funds-for-books/ for more information."
Does UCF offer underrepresented fellowships?,"UCF offers fellowships for doctoral and master's students, international and domestic students, underrepresented students, and newly admitted students. For a complete listing of our fellowships, please visit the Fellowships section of our website at https://graduate.ucf.edu/fellowships/. Additional information is available in the External Funding as well."
How are fellowships paid?,"Most graduate fellowships are disbursed through the Office of Student Financial Assistance, based on instructions provided by the UCF College of Graduate Studies. Student Financial Assistance begins disbursing fellowship funds and other aid after the registration and drop/add period has ended (usually the second week of the term). For the portion of tuition charges covered by the fellowship, the tuition payment deadline will be deferred until fellowship disbursement. If students are not enrolled in full-time hours by the end of the drop/add period, their fellowship will be canceled. Fellowship payment will first be applied to the student's account balance. Remaining funds will be disbursed to the student either as a check mailed to the current mailing address of record or as a direct deposit into the student's account if the student has provided the bank information in myUCF."
How can I check if my fellowship has paid?,"Students can check to see if a fellowship payment has been applied to their account through myUCF. In myUCF, select "Student Accounts" to see awards that have been set up to pay against your account."
How will I know if I have been selected for a fellowship?,"If you are selected as a fellowship recipient, you will be notified by the College of Graduate Studies by email. Offers will be sent to your Knights e-mail account (if it is established). If you do not have a Knights email account, the offer will be sent to the preferred email address on record with UCF. Please make sure that your email, telephone number, and mailing address are current in myUCF."
I am an international student. Do I qualify for financial support?,"International students are eligible for graduate assistantships and certain university fellowships. International students with fellowships must complete additional paperwork with the UCF Global. Deferments for tuition and fellowship awards will be placed on the student's account, but payment cannot occur until all required paperwork is completed and the valid Social Security Number (SSN) has been provided to the Registrar's Office. Review the Financial Information section of the current Graduate Catalog for additional information."
"If a fellowship requires a college-nomination, is there an application I must complete?","No. University merit-based fellowships require student nominations through the college and program offices. All admitted graduate students who apply by the Fall Priority Deadline are automatically eligible for consideration in this nomination process. For more information, you should communicate directly with your program. For a list of graduate fellowships that do require a student application, visit https://graduate.ucf.edu/fellowships/."
"If my fellowship includes tuition remission, how do I know if the waiver has posted to my student account?","In myUCF, select Student Accounts and click on the View Your Account option to verify that the tuition remission has posted to your account. This information will also appear on your fee invoice."
How can I access UCF's academic calendar?,"Our Academic Calendar can be found by visiting the UCF Registrar's Office website at http://calendar.ucf.edu/."
How do I look up online education courses?,"All of our online courses are available for you to review in www.graduatecatalog.ucf.edu or www.ucf.edu/online/."
"I am unable to get official transcripts, what are my options?","Applicants are able to be admitted using unofficial transcripts. Please contact gradadmissions@ucf.edu for additional information."
What are housing options for graduate students?,"In general, UCF does not offer housing for graduate students on the main east Orlando campus. However, graduate students are eligible for UCF-Affiliated Housing that is located near the main campus (e.g., Knights Circle, The Point at Central, and NorthView) and the Rosen and Downtown campuses. Also, a variety of additional housing options are often listed on the UCF Off-Campus Housing Website."
What is considered full-time enrollment for graduate students?,"A full-time degree-seeking graduate student must take at least nine credit hours in the fall and spring semesters. A half-time load is defined as enrolled in at least 4.5 credit hours in fall and spring terms. During the summer term, full-time is six credit hours and half-time is three credit hours. Nondegree students must be enrolled in 12 credit hours or more to be considered full-time."
Where can I find the UCF current tuition and fee schedule?,"Our current tuition and fee schedule can be found by visiting the UCF Office of Institutional Research website at https://studentaccounts.ucf.edu/tf-graduate/. The new fees for the next fall, spring, and summer semesters are available mid-July of each year."
Where can I go to obtain more information on graduate courses at your branch campuses?,"For more information related to the UCF branch campuses, please visit the UCF Connect webpage at https://connect.ucf.edu/."
How do I access my GPS (degree audit)?,"You can access your GPS (degree audit) by logging into the myUCF portal, navigating to the Student Center, and choosing Degree Audit from the drop-down box under Academics.  For more information on accessing your degree audit visit https://graduate.ucf.edu/graduate-plan-of-study/."
What is a Graduate Plan of Study (GPS)?,"The GPS (degree audit) is an advising tool for students and advisors to track progress toward the degree or certificate completion."
"I just graduated, when will I get my diploma?","Diplomas will be mailed approximately 6 to 8 weeks after the commencement ceremony to the address indicated on the student's Intent to Graduate form. Students who have changed their address should log into myUCF and go to Student Self Service > Personal Information in order to update your contact information."
I'm pursuing a graduate certificate. Do I have to apply to graduate?,"Yes, students who have been admitted to a graduate certificate program must apply to graduate by submitting a Graduate Certificate Completion Form."
What happens if I don't file an Intent to Graduate but I've completed all of my coursework?,"You should file an Intent to Graduate as soon as possible so that your degree is conferred that term. Also, you will be given the option to walk in a commencement ceremony during one of the three following terms."
What is an Intent to Graduate and how do I file it?,"In order to apply to graduate, a student must submit an Intent to Graduate (ITG) form by the respective deadline. Failure to submit an ITG by the deadline will result in your inability to participate in the commencement ceremony. Submit the Intent to Graduate (ITG) application through myUCF Student Self Service during the application filing window as posted in the UCF Academic Calendar. myUCF Self Service > Student Center > Other Academic… > Intent to graduate – Apply"
Where can I find information on the Commencement Ceremony?,"Commencement information is posted on www.ucf.edu/graduation."
Where can I find my Digital Diploma?,"Digital diplomas are available to those who graduated from UCF in Spring 2022 and forward through Parchment https://www.parchment.com/u/auth/login. Unfortunately, digital diplomas are not available for those who graduated prior to Spring 2022."
Where can I get a duplicate diploma?,"Duplicate diplomas can be ordered through the Registrar's Office at www.registrar.ucf.edu."
Can I purchase dependent coverage?,"Yes, you can add dependent coverage after you have been enrolled in the UCF Student Health Plan by the College of Graduate Studies. Go to the Gallagher Student Health & Special Risk website (www.gallagherstudent.com/students/student-home.php?idField=1183) and follow the instructions there to complete the Dependent Enroll section. You will need to pay for your dependents' coverage yourself."
Can I use the UCF Health Center with my UCF Student Health Insurance Plan?,"Yes, students with the UCF Student Health Insurance Plan, underwritten by UnitedHealthcare Insurance Company and serviced by Gallagher Student Health & Special Risk, may use the UCF Health Center."
Do I need to register myself for the health insurance paid by the College of Graduate Studies?,"No, the College of Graduate Studies will send notice to Gallagher Student Health & Special Risk to enroll you in paid UnitedHealthcare health insurance coverage once we have received your completed Health Insurance Form (submitted through your myUCF Student Center) and have verified your qualifying assistantship or fellowship."
Does my assistantship include paid health insurance coverage?,"If you are receiving a university fellowship that is accompanied by a tuition waiver or you are a graduate assistant with a single appointment of at least 20 hours per week (0.5 FTE) or two appointments of at least 10 hours per week each (0.25 FTE each), you qualify for health insurance coverage paid for by the College of Graduate Studies."
How do I accept or decline health insurance coverage paid by the College of Graduate Studies?,"All qualifying assistantship and fellowship students must accept or decline health insurance coverage by completing the Health Insurance Form in their myUCF Student Center. The College of Graduate Studies will contact you via e-mail with instructions for completing this form."
How do I qualify for university-paid health insurance?,"The College of Graduate Studies will provide health insurance coverage for all university fellows and graduate assistants with appointments totaling 20 hours per week. Health insurance coverage is part of the student's financial package."
How will I know that I have been enrolled in health insurance?,"After you have received notice in your Knights e-mail that the College of Graduate Studies has approved your Health Insurance Form, it takes up to 10 business days before your health insurance enrollment is fully processed. You can then go to the Gallagher Student Health & Special Risk website (www.gallagherstudent.com/floridausystem/) and create an account and print your health insurance ID card. Questions regarding the status of your health insurance enrollment can be sent to gradassistantship@ucf.edu or Joy Kittredge at (407) 823-0127."
"I am an international student with an F-1 visa. I have a health insurance hold from the UCF Health Center on my student account, however, I have accepted health insurance paid by the College of Graduate Studies on the Health Insurance Form in my Student Center in myUCF and will have a qualifying assistantship. How do I get the health insurance hold removed so I can register for classes?","Once the College of Graduate Studies verifies that you qualify for paid health insurance coverage we will send notice to the UCF Health Center of your health insurance coverage and request adjustment of the health insurance hold. Please do not contact the UCF Health Center directly to remove your health insurance hold. Also, the adjustment of your health insurance hold is not immediate; it may take a couple of days, depending on when the request is received. Please contact gradassistantship@ucf.edu or Joy Kittredge (407) 823-0127 if you need assistance."
"I declined my health insurance coverage at the beginning of the term, but have now changed my mind and would like to add this paid health insurance coverage. How do I do this?","In order to change your health insurance decision, please contact gradassistantship@ucf.edu or Joy Kittredge at (407) 823-0127 for instructions. If the health insurance enrollment period is still open, then the College of Graduate Studies will be able to change your decision right away. If the health insurance enrollment period is closed, then the change would be in effect for the next semester. For example, a decision change received by the College of Graduate Studies on September 15 could be changed for fall semester, but a decision change received by the College on October 1 would be changed effective with spring semester."
"I have the spring and summer UCF Student Health Plan paid by the College of Graduate Studies, but I will not be enrolled in the summer semester. Can I still use the UCF Health Center in the summer?","Yes, you can use the UCF Health Center in the summer but will be required to pay an additional off-semester fee to the Health Center."
"If I have a qualifying spring graduate assistantship or fellowship, do I receive summer health insurance coverage?","Yes, if you have a qualifying spring assistantship or fellowship, you will receive spring and summer health insurance coverage from January 1 through August 14. You do not have to be enrolled in summer semester courses or have a summer assistantship to receive the summer health insurance coverage."
Is the UCF Student Health Plan a COBRA-eligible plan,"No, the UCF Student Health Plan, underwritten by UnitedHealthcare Insurance Company and serviced by Gallagher Student Health & Special Risk is not COBRA-eligible as it is based on student eligibility (that is, class enrollment), not job eligibility."
My health insurance coverage has expired and I am not enrolled in classes for the next semester at UCF. Can I still purchase the UCF Student Health Insurance Plan?,"No, you are ineligible to enroll in the UCF Health Insurance Plan, underwritten by UnitedHealthcare Insurance Company and serviced by Gallagher Student Health & Special Risk, because you are not a currently enrolled student at UCF."
What are the health insurance coverage periods?,"Students with qualifying assistantships and fellowships in the fall term will receive fall coverage, running from August 15 to December 31. Students with qualifying assistantships and fellowships in the spring term will receive spring and summer coverage, running from January 1 to August 14. Students with qualifying assistantships and fellowships in the summer term only will receive summer coverage, running from May 1 to August 14. Note: Students must be enrolled for the first 31 days of the semester in which health insurance is paid for in order to retain their coverage."
What type of health insurance plan will I receive?,"Students will receive the UCF Student Health Insurance Plan, underwritten by United Healthcare Insurance Company and serviced by Gallagher Student Health & Special Risk. The details of the plan are available at the Gallagher Student Health & Special Risk website (www.gallagherstudent.com/floridausystem/)."
When can I enroll in university-paid health insurance?,"You may receive health insurance paid by the College of Graduate Studies at the beginning of the academic year (fall) or at the beginning of the term in which you first enroll in UCF for that academic year. If you are a newly appointed graduate assistant or university fellow, you can receive paid health insurance at the beginning of the term in which your graduate assistantship or fellowship begins.Please note that the College of Graduate Studies enrolls qualifying assistantship and fellowship students in health insurance based on whether students accept or decline this coverage on the Health Insurance Form in their myUCF Student Center. If you qualify to receive paid health insurance, the College of Graduate Studies will send an email to your Knights account to inform you and provide instructions on how to accept or decline this coverage."
When will I receive information about my health insurance coverage and my health insurance card?,"Once your health insurance enrollment has been fully processed by the College of Graduate Studies and Gallagher Student Health & Special Risk, you can go to the Gallagher Student Health & Special Risk website (www.gallagherstudent.com/floridausystem/) to create an account, review the health insurance plan, and print your health insurance ID card."
Are there any online Academic Integrity workshops?,"All Academic Integrity workshops are face-to-face (synchronous) but can take place online."
Can the Academic Integrity Training policy be waved or petitioned?,"Some doctoral programs are exempt from the workshop requirement. However, students in these programs must still complete the CITI training. This requirement cannot be waived for any student and students may not petition to be exempt from the workshops or CITI requirement. For a list of programs that are exempt from the workshops, please see Pathways to Success."
Do I need register for Pathways to Success workshops?,"Registration is not required for workshops. You can just attend on the day and time of a workshop."
How can I tell if a Academic Integrity Workshop is Core or Elective?,"The workshop type will be indicated in the title of the workshop. For example, Ethics: Personal Integrity as a Graduate Student - CORE."
"I am a Postdoc, how do I register for the Pathways to Success Workshops?","Postdocs do not need to register in advance for workshops. Please just be sure to sign in to the roster at the session you attend."
"If I am not a graduate student, can I attend the Pathways to Success Workshops?","Although, these workshops are meant to be attended by graduate students and postdocs, we do not turn away the UCF community (faculty, staff, undergraduate student) if they would like to attend."
Is there a cost to attend the Pathways to Success Workshops?,"There is no cost associated with these workshops."
What are Pathways to Success workshops?,"Personal and Professional workshops developed specifically for graduate students and postdocs.  These free workshops are coordinated by the College of Graduate Studies and facilitated by many different offices around campus or around the central Florida community."
What is the Academic Integrity Training requirement for doctoral students?,"All doctoral students must take CITI Responsible Conduct of Research module. Doctoral students in non-exempt programs must also take four face-to-face academic integrity workshops. Students must take at least two Core workshops and at least two other Core or Elective workshops for a total of four workshops."
What is the deadline for completing the Academic Integrity Training requirement?,"The CITI module and the workshops must be completed before advancing to candidacy or graduating in programs that do not have candidacy. Students will not be able to register for dissertation hours if they have not completed this requirement."
When will my To Do list in myUCF be updated with my academic integrity attendance?,"Please allow two to three days following each workshop for your To Do list to be updated."
Where are the Pathways to Success workshops held?,"Most of the workshops are held in the Graduate Student Center located in Trevor Colbourn Hall, 208 unless otherwise indicated on the schedule. Please see the UCF Events Calendar for specific locations."
Where can I find the schedule for the Pathways to Success workshops this semester?,"The schedule of workshops can be found at graduate.ucf.edu/pathways-to-success/."
Who do I contact if I have questions or comments about Pathways to Success or the Academic Integrity policy?,"Please email gradworkshops@ucf.edu."
Can I register if I have not submitted my Program of Study?,"Yes, even though a to do item will appear on your myUCF record, it will not prevent registration. However, if you do not submit the Program of Study in the time frame outlined above a Registration HOLD will be placed on your account. It is best to work with your College/Program adviser to submit your POS as soon as possible to prevent registration delays."
How do I get my degree audit?,"The degree audit is an advising tool for students and advisors to track progress toward the degree or certificate completion. You can access your degree audit by logging into the myUCF portal and navigating to the Student Center and choosing Degree Audit from the drop-down box under Academics.  For more information on accessing your degree audit visit the https://graduate.ucf.edu/graduate-plan-of-study/."
What is a petition?,"When unusual situations arise, petitions for exceptions to policy may be requested by the student. Depending on the type of appeal, the student should contact his/her program adviser to start the process. The petition process should start early, as soon as the problem is identified, and should always be filed using a Graduate Petition Form. Please refer to Academic Grievance Procedure and Petitions of Graduate Requirements Procedures in the Graduate Catalog for details. The Petition Form is available in the Forms and References section of the website."
What is a Program of Study?,"A program of study is a listing of course work agreed to by you and your program advisor. A Program of Study form can be obtained from the graduate program director."
When should I file a program of study for my program?,"Programs of Study for students seeking a master's or specialist degree should be on file with the College of Graduate Studies by the end of the student's second major term (based on full-time enrollment) and must be on file by the end of the term prior to the term of expected graduation. Programs of Study for students seeking a doctoral degree should be on file with the College of Graduate Studies by the end of the third major term of enrollment (based on full-time enrollment), and must be on file prior to the change to candidacy status."
Are there other sources of funding for graduate student presentation at conferences?,"Yes, the Student Government Association also funds individual student and group travel requests. See www.ucfsga.com or contact the Student Outreach Services office in the Student Union, room 208, or at sosgrad@ucf.edu."
How are Graduate Presentation Fellowships paid?,"Once they are reviewed and approved by the College of Graduate Studies, Presentation Fellowships are disbursed through the Office of Student Financial Assistance, based on instructions provided by the Graduate College. Fellowship payment will first be applied to your account balance. Remaining funds will be disbursed to you either as a check mailed to the current mailing address of record or as a direct deposit into your account if you have provided the bank information in myUCF."
How do I apply for a Graduate Presentation Fellowship?,"The Graduate Presentation Fellowship application is available in your myUCF Student Center. Once you log into myUCF, click on Student Self Service and then Student Center. In the Student Center, scroll down to the Graduate Students section. Select the Presentation FellowshipApplication fromm the “choose Graduate Form” drop-down menu."
How often can I receive a Graduate Presentation Fellowship?,"Only one Graduate Presentation Fellowship application per student may be funded per academic year."
What are the requirements to receive a Graduate Presentation Fellowship?,"You must be an enrolled graduate student in good academic standing who is delivering a research presentation or comparable creative activity at a professional meeting. You must also be the primary student author and presenter. To maintain the award, you must complete the Graduate Presentation Fellowship Report upon your return and provide proof of conference attendance.  You must be enrolled during the term of the award and at the time of the presentation to qualify for the payment."
Do I need to submit a new Program of Study if my plans change?,"If you are admitted to a new or additional graduate program, you will need to submit a new POS. Schedule a meeting with your advisor to help guide you through the changes. Familiarize yourself with UCF Graduate Policies, so that your proposed changes do not violate policy and cause delays in your graduation."
"I've searched the program of Study webpage and watched all the videos, but I can't find the answer to my question. Who do I reach out to for help?","For any questions, concerns or issues regarding the Program of Study, please send an email to graddegr@ucf.edu."
What happens if I do not submit a POS?,"If you do not submit a POS by the designated deadline, you will receive a registration hold that will prevent you from registering for classes. If you miss the deadline for transfer credits, you will lose the opportunity to request transfer credits."
What is a Program of Study?,"A Program of Study is a listing of coursework agreed to by you and your program advisor. A Program of Study form can be obtained from your graduate program director."
When should I file a Program of Study?,"A Program of Study for students seeking a master's or specialist degree should be on file with the College of Graduate Studies by the end of the student's second term. A Program of Study for students seeking a doctoral degree should be on file with the College of Graduate Studies by the end of the third major term of enrollment (based on full-time enrollment) and must be on file prior to the change to candidacy status."
Who is my advisor?,"For most graduate students, your initial advisor is your Graduate Program Director. If you do not already know who this person is, you can find them in the Graduate Catalog under your specific graduate Program."
How do I find out about events?,"Please visit our online calendar of events for daily and monthly events each semester."
What are housing options for graduate students?,"In general, UCF does not offer housing for graduate students on the main east Orlando campus. However, graduate students are eligible for UCF-Affiliated Housing that is located near the main campus (e.g., Knights Circle, The Point at Central, and NorthView) and the Rosen and Downtown campuses. Also, a variety of additional housing options are often listed on the UCF Off-Campus Housing Website."
How long will it take to complete the format review?,"The timeliness of format reviews varies primarily on the proximity of posted deadlines. Submissions at or near deadlines may take 5-7 business days to receive a response. Submissions during less busy times of the term rarely exceed 2-5 business days. You should plan accordingly."
How should I prepare my Thesis or Dissertation?,"UCF requires all ETDs to adhere to certain university-wide format specifications. The Microsoft Word template and all other formatting information, instructions, and tutorial files are contained within the Graduate Thesis and Dissertation Webcourse. Please see the Thesis and Dissertation page for the current Webcourse link."
Is there a template to help format my ETD?,"Yes! There is a Microsoft Word and a LaTex template to help with formatting. We recommend students also attend a workshop and seek out formatting help the Graduate Student Center to achieve proper ETD formatting. Please see the Thesis and Dissertation page for details."
What does the Graduate Thesis and Dissertation Office do?,"The Thesis and Dissertation Office is your primary resource for all things ETD. In particular, the Office: Publishes the Thesis and Dissertation Manual, template, and other resources, Updates the thesis and dissertation web information, Manages the Graduate Thesis and Dissertation Webcourse, Performs format reviews and approvals, Processes thesis and dissertation paperwork and final submissions, Conducts thesis and dissertation workshops, Provides formatting support, Answers general process and format questions"
What is a format review?,"All graduate students completing a thesis or dissertation must submit their thesis or dissertation to the College of Graduate Studies for format review prior to the format deadline in the student's final term. Additionally, in order to make a final thesis or dissertation submission to the university's institutional repository, students must first gain format approval. Please see the Graduate Thesis and Dissertation page for additional information on the format review process."
What is an ETD?,"An ETD is simply an Electronic Thesis or Dissertation. It’s a digital rather than a paper document. An ETD may have multimedia files, hypertext links and other interactive features, along with text. Today, all UCF theses and dissertations are ETDs."
What is the NORC Survey of Earned Doctorates?,"The Survey of Earned Doctorates is an annual census conducted jointly by six federal agencies of all individuals receiving a research doctorate from an accredited U.S. institution in a given academic year. Results are used to assess characteristics of the doctoral population and trends in doctoral education and degrees in the United States. Doctoral students will be sent the survey link upon receiving format approval of their dissertation. Additional information is available on this brochure."
What support is available for creating my ETD?,"A student's best resource for proper writing within the discipline is their adviser. Students should also review articles from journals within their discipline to see examples of discipline-specific writing. The University Writing Center also offers writing services to thesis and dissertation students, including document feedback and long-term project planning. Finally, students looking for assistance with formatting their document should check the Thesis and Dissertation Webpage for available Help times, or send an email to ETDHelp@ucf.edu."
Where will my ETD be available?,"The metadata, citation information, and abstract for your ETD will be made available to the following sites: UCF Libraries’ catalog, UCF's STARS institutional repository, WorldCat, NDLTD (Networked Digital Library of Theses and Dissertations), Worldwide ETD search, and search engines such as Google, Bing, and Yahoo, among others, ensuring wider distribution. Please note: if you have restricted the dissemination of your thesis or dissertation, only the catalog information would be available through these sources; the PDF file will not be available for public viewing until the dissemination restriction has been fulfilled."
How do I order official transcripts?,"All transcripts must be ordered through Parchment. If you remember your NID, you may order through myUCF. To request a transcript, go to: myUCF > Student Self Service > Student Center > Under the Academics subheader in the center of the page, click on the “other academic…” drop-down menu and select “Transcript: Request Official.”"
How much does each transcript cost?,"A $15.00 charge is required for each transcript ordered to cover the expense of the transcript and the servicer’s service charge. All transcript orders are non-refundable."
What if I don't remember my NID? Can I order my transcripts without it?,"If you do not remember your NID, you may self-register for transcript ordering through our vendor, Parchment."
How do I apply to be a Traveling Scholar?,"A Traveling Scholar must be recommended by his or her own graduate advisor, who will initiate a visiting arrangement with the appropriate faculty member of the host institution. Interested applicants must complete a Traveling Scholars Request Form."
My plans have changed. What do I do?,"If plans change and you do not enroll in the course(s) at the institution and in the term, you indicated on your form, please send a written notification to graddegr@ucf.edu so that we can update your records."
What are some limitations?,"Only up to six (6) credit hours may be obtained as a Traveling Scholar and used in a graduate plan of study. Graduate students are not allowed to be traveling scholars in their final, or graduation, term except by prior approval of the UCF College of Graduate Studies."
What are the requirements?,"The Traveling Scholar Form must be completed by the student and approved by the UCF College of Graduate Studies before any coursework can be taken. The student will register at the host institution and will pay tuition and/or registration fees according to fee schedules established at that institution. To obtain credit for approved Traveling Scholar courses, grades obtained must be a B- or higher and the student must request an official transcript be sent from the host institution to the UCF College of Graduate Studies."
What is the Traveling Scholars program?,"The Traveling Scholar status enables a UCF graduate student to take advantage of special resources available at other colleges/universities that are not available at UCF (for example, special course offerings, research opportunities, unique laboratories, and library collections)."
When is the deadline to apply?,"The deadline to submit your Traveling Scholar Request Form is the last day of add/drop for the semester in which courses are being requested. Please see the Academic Calendar for exact dates."
Will these courses count towards my GPA and/or residency requirements?,"Credits earned at another institution while in Traveling Scholar status will be considered internal transfer credits and do not count toward the student's graduate status GPA. These hours may count toward UCF residency requirements if prior approval is obtained."
Am I receiving a tuition waiver or a tuition payment?,"University fellows receive tuition remission in the form of tuition waivers, while GTAs, GRAs and GAs receive tuition remission in the form of tuition waivers and/or payments from their employing units."
How do I know if my tuition remission has posted to my student account?,"Log into myUCF and click on Student Self Service. From there, click on Student Center and scroll down to the Finances section. Click on "Fee Invoice" to view your term bill. Tuition remission details will appear in the Payments, Waivers, Third Party, Aid section of your fee invoice."
When will my tuition remission post to my student account?,"Tuition waivers will show as credit on your term bill starting about two weeks before the first day of classes, based on approved assistantship and enrollment. Tuition payments will show as credit on your term bill after add/drop closes, starting the first business day after add/drop closes."
